,Width##LENGTH##INCHES,Height##LENGTH##INCHES,Designation##OTHER##,Type Comments##OTHER##,. . Lights Wide##OTHER##,. . Lights High##OTHER##,Fractional Lights Wide##OTHER##,Fractional Lights High##OTHER##
"39-1/4"" x 31-1/4""",39.25,31.25,ATF3428,Fibrex clad wood tansom window,4,2,4,2
"39-1/4"" x 35-1/4""",39.25,35.25,ATF3430,Fibrex clad wood tansom window,4,3,4,3
"39-1/4"" x 39-1/4""",39.25,39.25,ATF3434,Fibrex clad wood tansom window,4,3,4,3
"43-1/4"" x 11-1/4""",43.25,11.25,ATF3810,Fibrex clad wood tansom window,4,1,4,1
"43-1/4"" x 15-1/4""",43.25,15.25,ATF3814,Fibrex clad wood tansom window,4,1,4,1
"43-1/4"" x 17-1/4""",43.25,17.25,ATF3816,Fibrex clad wood tansom window,4,1,4,1
"43-1/4"" x 19-1/4""",43.25,19.25,ATF3818,Fibrex clad wood tansom window,4,1,4,1
"43-1/4"" x 21-1/4""",43.25,21.25,ATF38110,Fibrex clad wood tansom window,4,1,4,1
"43-1/4"" x 23-1/4""",43.25,23.25,ATF3820,Fibrex clad wood tansom window,4,2,4,2
"43-1/4"" x 25-1/4""",43.25,25.25,ATF3822,Fibrex clad wood tansom window,4,2,4,2
"43-1/4"" x 27-1/4""",43.25,27.25,ATF3824,Fibrex clad wood tansom window,4,2,4,2
"43-1/4"" x 29-1/4""",43.25,29.25,ATF3826,Fibrex clad wood tansom window,4,2,4,2
"43-1/4"" x 31-1/4""",43.25,31.25,ATF3828,Fibrex clad wood tansom window,4,2,4,2
"43-1/4"" x 35-1/4""",43.25,35.25,ATF3830,Fibrex clad wood tansom window,4,3,4,3
"43-1/4"" x 39-1/4""",43.25,39.25,ATF3834,Fibrex clad wood tansom window,4,3,4,3
"47-1/4"" x 11-1/4""",47.25,11.25,ATF4010,Fibrex clad wood tansom window,5,1,5,1
"47-1/4"" x 15-1/4""",47.25,15.25,ATF4014,Fibrex clad wood tansom window,5,1,5,1
"47-1/4"" x 17-1/4""",47.25,17.25,ATF4016,Fibrex clad wood tansom window,5,1,5,1
"47-1/4"" x 19-1/4""",47.25,19.25,ATF4018,Fibrex clad wood tansom window,5,1,5,1
"47-1/4"" x 21-1/4""",47.25,21.25,ATF40110,Fibrex clad wood tansom window,5,1,5,1
"47-1/4"" x 23-1/4""",47.25,23.25,ATF4020,Fibrex clad wood tansom window,5,2,5,2
"47-1/4"" x 25-1/4""",47.25,25.25,ATF4022,Fibrex clad wood tansom window,5,2,5,2
"47-1/4"" x 27-1/4""",47.25,27.25,ATF4024,Fibrex clad wood tansom window,5,2,5,2
"47-1/4"" x 29-1/4""",47.25,29.25,ATF4026,Fibrex clad wood tansom window,5,2,5,2
"47-1/4"" x 31-1/4""",47.25,31.25,ATF4028,Fibrex clad wood tansom window,5,2,5,2
"47-1/4"" x 35-1/4""",47.25,35.25,ATF4030,Fibrex clad wood tansom window,5,3,5,3
"47-1/4"" x 39-1/4""",47.25,39.25,ATF4034,Fibrex clad wood tansom window,5,3,5,3
"51-1/4"" x 11-1/4""",51.25,11.25,ATF4410,Fibrex clad wood tansom window,5,1,5,1
"51-1/4"" x 15-1/4""",51.25,15.25,ATF4414,Fibrex clad wood tansom window,5,1,5,1
"51-1/4"" x 17-1/4""",51.25,17.25,ATF4416,Fibrex clad wood tansom window,5,1,5,1
"51-1/4"" x 19-1/4""",51.25,19.25,ATF4418,Fibrex clad wood tansom window,5,1,5,1
"51-1/4"" x 21-1/4""",51.25,21.25,ATF44110,Fibrex clad wood tansom window,5,1,5,1
"51-1/4"" x 23-1/4""",51.25,23.25,ATF4420,Fibrex clad wood tansom window,5,2,5,2
"51-1/4"" x 25-1/4""",51.25,25.25,ATF4422,Fibrex clad wood tansom window,5,2,5,2
"51-1/4"" x 27-1/4""",51.25,27.25,ATF4424,Fibrex clad wood tansom window,5,2,5,2
"51-1/4"" x 29-1/4""",51.25,29.25,ATF4426,Fibrex clad wood tansom window,5,2,5,2
"51-1/4"" x 31-1/4""",51.25,31.25,ATF4428,Fibrex clad wood tansom window,5,2,5,2
"51-1/4"" x 35-1/4""",51.25,35.25,ATF4430,Fibrex clad wood tansom window,5,3,5,3
"51-1/4"" x 39-1/4""",51.25,39.25,ATF4434,Fibrex clad wood tansom window,5,3,5,3
"55-1/4"" x 11-1/4""",55.25,11.25,ATF4810,Fibrex clad wood tansom window,6,1,6,1
"55-1/4"" x 15-1/4""",55.25,15.25,ATF4814,Fibrex clad wood tansom window,6,1,6,1
"55-1/4"" x 17-1/4""",55.25,17.25,ATF4816,Fibrex clad wood tansom window,6,1,6,1
"55-1/4"" x 19-1/4""",55.25,19.25,ATF4818,Fibrex clad wood tansom window,6,1,6,1
"55-1/4"" x 21-1/4""",55.25,21.25,ATF48110,Fibrex clad wood tansom window,6,1,6,1
"55-1/4"" x 23-1/4""",55.25,23.25,ATF4820,Fibrex clad wood tansom window,6,2,6,2
"55-1/4"" x 25-1/4""",55.25,25.25,ATF4822,Fibrex clad wood tansom window,6,2,6,2
"55-1/4"" x 27-1/4""",55.25,27.25,ATF4824,Fibrex clad wood tansom window,6,2,6,2
"55-1/4"" x 29-1/4""",55.25,29.25,ATF4826,Fibrex clad wood tansom window,6,2,6,2
"55-1/4"" x 31-1/4""",55.25,31.25,ATF4828,Fibrex clad wood tansom window,6,2,6,2
"55-1/4"" x 35-1/4""",55.25,35.25,ATF4830,Fibrex clad wood tansom window,6,3,6,3
"55-1/4"" x 39-1/4""",55.25,39.25,ATF4834,Fibrex clad wood tansom window,6,3,6,3
"59-1/4"" x 11-1/4""",59.25,11.25,ATF5010,Fibrex clad wood tansom window,6,1,6,1
"59-1/4"" x 15-1/4""",59.25,15.25,ATF5014,Fibrex clad wood tansom window,6,1,6,1
"59-1/4"" x 17-1/4""",59.25,17.25,ATF5016,Fibrex clad wood tansom window,6,1,6,1
"59-1/4"" x 19-1/4""",59.25,19.25,ATF5018,Fibrex clad wood tansom window,6,1,6,1
"59-1/4"" x 21-1/4""",59.25,21.25,ATF50110,Fibrex clad wood tansom window,6,1,6,1
"59-1/4"" x 23-1/4""",59.25,23.25,ATF5020,Fibrex clad wood tansom window,6,2,6,2
"59-1/4"" x 25-1/4""",59.25,25.25,ATF5022,Fibrex clad wood tansom window,6,2,6,2
"59-1/4"" x 27-1/4""",59.25,27.25,ATF5024,Fibrex clad wood tansom window,6,2,6,2
"59-1/4"" x 29-1/4""",59.25,29.25,ATF5026,Fibrex clad wood tansom window,6,2,6,2
"59-1/4"" x 31-1/4""",59.25,31.25,ATF5028,Fibrex clad wood tansom window,6,2,6,2
"59-1/4"" x 35-1/4""",59.25,35.25,ATF5030,Fibrex clad wood tansom window,6,3,6,3
"59-1/4"" x 39-1/4""",59.25,39.25,ATF5034,Fibrex clad wood tansom window,6,3,6,3
"63-1/4"" x 11-1/4""",63.25,11.25,ATF5410,Fibrex clad wood tansom window,6,1,6,1
"63-1/4"" x 15-1/4""",63.25,15.25,ATF5414,Fibrex clad wood tansom window,6,1,6,1
"63-1/4"" x 17-1/4""",63.25,17.25,ATF5416,Fibrex clad wood tansom window,6,1,6,1
"63-1/4"" x 19-1/4""",63.25,19.25,ATF5418,Fibrex clad wood tansom window,6,1,6,1
"63-1/4"" x 21-1/4""",63.25,21.25,ATF54110,Fibrex clad wood tansom window,6,1,6,1
"63-1/4"" x 23-1/4""",63.25,23.25,ATF5420,Fibrex clad wood tansom window,6,2,6,2
"63-1/4"" x 25-1/4""",63.25,25.25,ATF5422,Fibrex clad wood tansom window,6,2,6,2
"63-1/4"" x 27-1/4""",63.25,27.25,ATF5424,Fibrex clad wood tansom window,6,2,6,2
"63-1/4"" x 29-1/4""",63.25,29.25,ATF5426,Fibrex clad wood tansom window,6,2,6,2
"63-1/4"" x 31-1/4""",63.25,31.25,ATF5428,Fibrex clad wood tansom window,6,2,6,2
"63-1/4"" x 35-1/4""",63.25,35.25,ATF5430,Fibrex clad wood tansom window,6,3,6,3
"63-1/4"" x 39-1/4""",63.25,39.25,ATF5434,Fibrex clad wood tansom window,6,3,6,3
"67-1/4"" x 11-1/4""",67.25,11.25,ATF5810,Fibrex clad wood tansom window,7,1,7,1
"67-1/4"" x 15-1/4""",67.25,15.25,ATF5814,Fibrex clad wood tansom window,7,1,7,1
"67-1/4"" x 17-1/4""",67.25,17.25,ATF5816,Fibrex clad wood tansom window,7,1,7,1
"67-1/4"" x 19-1/4""",67.25,19.25,ATF5818,Fibrex clad wood tansom window,7,1,7,1
"67-1/4"" x 21-1/4""",67.25,21.25,ATF58110,Fibrex clad wood tansom window,7,1,7,1
"67-1/4"" x 23-1/4""",67.25,23.25,ATF5820,Fibrex clad wood tansom window,7,2,7,2
"67-1/4"" x 25-1/4""",67.25,25.25,ATF5822,Fibrex clad wood tansom window,7,2,7,2
"67-1/4"" x 27-1/4""",67.25,27.25,ATF5824,Fibrex clad wood tansom window,7,2,7,2
"67-1/4"" x 29-1/4""",67.25,29.25,ATF5826,Fibrex clad wood tansom window,7,2,7,2
"67-1/4"" x 31-1/4""",67.25,31.25,ATF5828,Fibrex clad wood tansom window,7,2,7,2
"67-1/4"" x 35-1/4""",67.25,35.25,ATF5830,Fibrex clad wood tansom window,7,3,7,3
"67-1/4"" x 39-1/4""",67.25,39.25,ATF5834,Fibrex clad wood tansom window,7,3,7,3
"71-1/4"" x 11-1/4""",71.25,11.25,ATF6010,Fibrex clad wood tansom window,7,1,7,1
"71-1/4"" x 15-1/4""",71.25,15.25,ATF6014,Fibrex clad wood tansom window,7,1,7,1
"71-1/4"" x 17-1/4""",71.25,17.25,ATF6016,Fibrex clad wood tansom window,7,1,7,1
"71-1/4"" x 19-1/4""",71.25,19.25,ATF6018,Fibrex clad wood tansom window,7,1,7,1
"71-1/4"" x 21-1/4""",71.25,21.25,ATF60110,Fibrex clad wood tansom window,7,1,7,1
"71-1/4"" x 23-1/4""",71.25,23.25,ATF6020,Fibrex clad wood tansom window,7,2,7,2
"71-1/4"" x 25-1/4""",71.25,25.25,ATF6022,Fibrex clad wood tansom window,7,2,7,2
"71-1/4"" x 27-1/4""",71.25,27.25,ATF6024,Fibrex clad wood tansom window,7,2,7,2
"71-1/4"" x 29-1/4""",71.25,29.25,ATF6026,Fibrex clad wood tansom window,7,2,7,2
"71-1/4"" x 31-1/4""",71.25,31.25,ATF6028,Fibrex clad wood tansom window,7,2,7,2
"71-1/4"" x 35-1/4""",71.25,35.25,ATF6030,Fibrex clad wood tansom window,7,3,7,3
"71-1/4"" x 39-1/4""",71.25,39.25,ATF6034,Fibrex clad wood tansom window,7,3,7,3
